slime_default        | PASS | cover=0.663 contrast=0.55 reinforce=1.00 overlap=- | baseline Physarum network: a disc reticulates into a web
slime_fine           | PASS | cover=0.620 contrast=0.50 reinforce=1.00 overlap=- | short reach + low diffuse -> fine capillary mesh
slime_coarse         | PASS | cover=0.589 contrast=0.64 reinforce=1.00 overlap=- | long reach -> few large transport cells
slime_filaments      | PASS | cover=0.998 contrast=0.26 reinforce=1.00 overlap=- | narrow cone + low turn -> long straight filaments
slime_curly          | PASS | cover=0.388 contrast=0.51 reinforce=1.00 overlap=- | wide cone + high turn -> curly foam texture
slime_sparse         | PASS | cover=0.517 contrast=0.53 reinforce=1.00 overlap=- | high decay -> faint, transient sparse trails
slime_dense          | PASS | cover=0.887 contrast=0.50 reinforce=1.00 overlap=- | low decay + strong deposit -> thick space-filling web
slime_smear          | PASS | cover=0.398 contrast=0.54 reinforce=1.00 overlap=- | very high diffuse -> trails smear into blobs
slime_ring_in        | PASS | cover=0.795 contrast=0.40 reinforce=1.00 overlap=- | ring spawn pointing inward (Lague signature)
slime_point          | PASS | cover=0.994 contrast=0.47 reinforce=1.01 overlap=- | single point source -> radiating burst
slime_random_full    | PASS | cover=0.991 contrast=0.33 reinforce=1.00 overlap=- | uniform seed -> global space-filling network
slime_torus          | PASS | cover=0.992 contrast=0.33 reinforce=1.00 overlap=- | periodic boundary -> seamless endless network
slime_two_repel      | PASS | cover=0.703 contrast=0.65 reinforce=1.20 overlap=0.030 | 2 species, cross=-1 -> territorial segregation
slime_two_attract    | PASS | cover=0.422 contrast=0.73 reinforce=1.00 overlap=0.934 | 2 species, cross=+1 -> shared co-aligned network
slime_two_asym       | PASS | cover=0.798 contrast=0.67 reinforce=1.32 overlap=0.056 | 2 species, different settings, repelling
slime_three          | PASS | cover=0.749 contrast=0.70 reinforce=1.59 overlap=0.036 | 3 mutually-repelling species -> triple junctions
slime_four           | PASS | cover=0.756 contrast=0.74 reinforce=1.91 overlap=0.022 | 4 mutually-repelling species (full RGBA showcase)
sweep_angle_10       | PASS | cover=0.824 contrast=0.55 reinforce=1.00 overlap=- | sweep: angle 10
sweep_angle_18       | PASS | cover=0.712 contrast=0.59 reinforce=1.00 overlap=- | sweep: angle 18
sweep_angle_28       | PASS | cover=0.674 contrast=0.58 reinforce=1.00 overlap=- | sweep: angle 28
sweep_angle_38       | PASS | cover=0.663 contrast=0.59 reinforce=1.00 overlap=- | sweep: angle 38
sweep_angle_50       | PASS | cover=0.665 contrast=0.61 reinforce=1.00 overlap=- | sweep: angle 50
sweep_decay_0p006    | PASS | cover=0.753 contrast=0.61 reinforce=1.00 overlap=- | sweep: decay 0p006
sweep_decay_0p012    | PASS | cover=0.674 contrast=0.58 reinforce=1.00 overlap=- | sweep: decay 0p012
sweep_decay_0p025    | PASS | cover=0.615 contrast=0.56 reinforce=1.00 overlap=- | sweep: decay 0p025
sweep_decay_0p04     | PASS | cover=0.555 contrast=0.53 reinforce=1.00 overlap=- | sweep: decay 0p04
sweep_decay_0p06     | PASS | cover=0.517 contrast=0.55 reinforce=1.00 overlap=- | sweep: decay 0p06
sweep_deposit_0p4    | PASS | cover=0.544 contrast=0.67 reinforce=1.00 overlap=- | sweep: deposit 0p4
sweep_deposit_0p7    | PASS | cover=0.644 contrast=0.60 reinforce=1.00 overlap=- | sweep: deposit 0p7
sweep_deposit_1p0    | PASS | cover=0.696 contrast=0.56 reinforce=1.00 overlap=- | sweep: deposit 1p0
sweep_deposit_1p4    | PASS | cover=0.762 contrast=0.53 reinforce=1.00 overlap=- | sweep: deposit 1p4
sweep_diffuse_0p12   | PASS | cover=0.682 contrast=0.57 reinforce=1.00 overlap=- | sweep: diffuse 0p12
sweep_diffuse_0p25   | PASS | cover=0.691 contrast=0.58 reinforce=1.00 overlap=- | sweep: diffuse 0p25
sweep_diffuse_0p4    | PASS | cover=0.696 contrast=0.59 reinforce=1.00 overlap=- | sweep: diffuse 0p4
sweep_diffuse_0p6    | PASS | cover=0.695 contrast=0.58 reinforce=1.00 overlap=- | sweep: diffuse 0p6
sweep_diffuse_0p85   | PASS | cover=0.685 contrast=0.60 reinforce=1.00 overlap=- | sweep: diffuse 0p85
sweep_dist_0p012     | PASS | cover=0.890 contrast=0.52 reinforce=1.00 overlap=- | sweep: dist 0p012
sweep_dist_0p02      | PASS | cover=0.733 contrast=0.55 reinforce=1.00 overlap=- | sweep: dist 0p02
sweep_dist_0p03      | PASS | cover=0.630 contrast=0.61 reinforce=1.00 overlap=- | sweep: dist 0p03
sweep_dist_0p045     | PASS | cover=0.536 contrast=0.65 reinforce=1.00 overlap=- | sweep: dist 0p045
sweep_dist_0p06      | PASS | cover=0.468 contrast=0.69 reinforce=1.00 overlap=- | sweep: dist 0p06
sweep_size_1         | PASS | cover=0.674 contrast=0.58 reinforce=1.00 overlap=- | sweep: size 1
sweep_size_2         | PASS | cover=0.462 contrast=0.57 reinforce=1.00 overlap=- | sweep: size 2
sweep_size_3         | PASS | cover=0.329 contrast=0.50 reinforce=1.00 overlap=- | sweep: size 3
sweep_turn_0p15      | WEAK | cover=1.000 contrast=0.16 reinforce=1.00 overlap=- | sweep: turn 0p15
sweep_turn_0p3       | PASS | cover=0.880 contrast=0.53 reinforce=1.00 overlap=- | sweep: turn 0p3
sweep_turn_0p45      | PASS | cover=0.674 contrast=0.58 reinforce=1.00 overlap=- | sweep: turn 0p45
sweep_turn_0p7       | PASS | cover=0.498 contrast=0.63 reinforce=1.00 overlap=- | sweep: turn 0p7
sweep_turn_1p0       | PASS | cover=0.421 contrast=0.62 reinforce=1.00 overlap=- | sweep: turn 1p0
