id,tier,stage,status,gate,threshold,unit,measured,outcome,artifacts,note,explain
G1,bookkeeping,0,DONE,every option combination can be READ,24 of 24 option combinations load,configs,24,PASS,/workspace/Plexus/prototype/graphcast/log/toy_counter_noed_simple_p1_free/G1_options.png,24 enumerated,"The model has four switches, and the whole premise is that any setting of them is a legal model -- options, not forks. This gate checks that literally: every combination must be readable. It takes the reference config, overwrites only the model block with each of the 24 settings, and calls the loader. Why 24: `simple` carries no edge state, so running it twice is a different model wearing the same name and the schema refuses it, which leaves four legal (message, n_passes) pairs times 2 encoder/decoder times 3 embeddings. It catches an option that exists only in the documentation, and a combination that silently falls back to a default instead of erroring."
G1b,bookkeeping,2,PENDING,every option combination can be RUN,24 of 24 option combinations run one forward step,configs,,SKIP,,,"The other half of G1. Reading a config proves the vocabulary is right; it does not prove the model can be built from it. This gate constructs the model object for each of the 24 settings and pushes one forward pass through it. It is split from G1 because the two become available at different stages -- G1 needs only the schema, G1b needs a model -- and a row that goes green having checked half its claim reads as an endorsement it has not earned. It catches shape mismatches that appear only when two particular options meet."
G2a,bookkeeping,0,DONE,no dataset identity appears as a VALUE in the code,0 offending constants outside config/,literals,0,PASS,/workspace/Plexus/prototype/graphcast/log/toy_counter_noed_simple_p1_free/G2_scan.png,"8 files, 2328 lines, constants only (docstrings exempt)","A scan of the prototype's own Python on the ABSTRACT SYNTAX TREE rather than as text, checking every string and numeric constant except docstrings. That distinction is the point: naming a dataset in prose is documentation, while the same name used as a value is a hardcoded path. Scanning the text would flag the first; skipping strings entirely would miss the second, because a path IS a string. Reviewing it found a hole -- the patterns were word-bounded, so a name inside a filename slipped through and a planted-violation check caught only 2 of 3. The boundaries are gone and all 4 are caught, while docstring prose and innocent constants still are not. Note what this does NOT establish: it is a necessary condition, not the claim. See G2b."
G2b,bookkeeping,8,PENDING,ONE pipeline actually runs on all three datasets,3 of 3 datasets complete generate/train/test with only the config changed,datasets,,SKIP,,,"The claim G2a only gestures at. The point of forbidding dataset identity in the code is that the same trainer should run on a toy, on a point-cloud recording and on a field recording with nothing changing but the yaml. That can only be checked once all three loaders exist and all three have been run end to end, which is stage 8. Until then the scanner is passing partly because the most likely place to hardcode a path -- the ZAPBench and redox loaders -- has not been written yet."
G3,bookkeeping,4,PENDING,the transfer pair returns what it was given,< 1e-6 of the field value,fraction of the field value,,SKIP,,,"The encoder/decoder option moves state onto a background grid and back. If it is sound, depositing a constant and gathering it again returns the constant. This is the end-to-end version of G4 and it catches what G4 cannot: a transfer pair that is not each other's adjoint, an off-by-one in the stencil, a normalisation applied on one side only. The threshold is a FRACTION of the field value, so it does not depend on what the field is."
G4,bookkeeping,0,DONE,the transfer conserves what it moves,|sum(w) - 1| < 1e-6,dimensionless,2.38419e-07,PASS,/workspace/Plexus/prototype/graphcast/log/toy_counter_noed_simple_p1_free/G4_partition.png,"worst over D=2,3 x res=32,64,128; float32 eps is 1.2e-7; negative control (middle lobe dropped) reads 0.937","The local half of G3. Each transfer spreads a node's value over the corners of the grid cell it sits in, and those weights must sum to one, or the transfer quietly changes the total amount of stuff every time it is applied. Summing to one is also exactly the condition that makes interpolation reproduce a constant, which is why G3 tests the same property from the outside. Dimensionless by construction. Its stage is 0, not 5, because it tests `mpm_ops.bspline` directly -- the transfer the encoder/decoder option wraps already exists, so no model and no wiring are needed. Measured 2.4e-07 over 2-D and 3-D at three resolutions, which is float32 machine precision, so the 1e-6 threshold is about eight epsilons: sharp enough to catch a real error, loose enough not to fail on rounding. The negative control -- dropping the middle B-spline lobe -- reads 9.4e-01."
G5,bookkeeping,2,PENDING,"the simple option IS the existing model, arithmetically",< 1e-5 of the voltage range,fraction of the voltage range,,SKIP,,,"The pivot of the whole prototype. With `simple`, one pass and no encoder/decoder, this model is meant to be connectome-gnn's NeuralGNN term for term. The gate copies NeuralGNN's weights across and requires the two to produce the same numbers. If it passes, everything downstream is a controlled variation on a model already known to reach R^2_W around 0.97. If it fails, no later result can be interpreted at all, because a new model's failure and a reimplementation bug are indistinguishable."
G6,bookkeeping,3,PENDING,"depth is an option, not a different model",bit-identical (max |delta| == 0),absolute,,SKIP,,,"Both message-passing MLPs have their final layer initialised to zero, so every residual block is EXACTLY the identity before training. It follows that one pass and sixteen passes must give the same numbers at step zero. The threshold is exactly zero with no tolerance, because this is an algebraic identity rather than a numerical one. It catches a residual that is not a residual -- a missing skip connection, or an initialisation that makes the stack a different model at every depth."
G7,bookkeeping,0,DONE,the spec is allowed to carry a unit,"units declared, and no measurement threshold in mesh units",boolean,1,PASS,/workspace/Plexus/prototype/graphcast/log/toy_counter_noed_simple_p1_free/G7_units.png,"length_um=100.0, time_s=0.05","Two halves, both with teeth. The spec must declare a units block, because plexus/units.py is explicit that a model without one is dimensionless and no result from it may be quoted with a unit -- and every measurement-tier gate is a comparison against a quantity. And no measurement threshold may be denominated in grid cells, voxels or steps; that half is the lesson from the ecm study, where a penetration of 0.82 grid cells sounded small and was 15 microns, nearly two cell diameters. A threshold in the mesh's own currency is the easiest one to pass. Both halves were checked against negative controls: a spec with no units block is refused, a spec declaring a DERIVED unit is refused, and poisoning one measurement gate's unit to 'grid cells' makes this gate fail and name the offender. WHAT IT DOES NOT ESTABLISH: it compares a unit LABEL against a blocklist, so it verifies that the declaration is honest in form, not that the number is really in that unit; and it says nothing about whether any result has actually been converted. See G7b."
G7b,bookkeeping,7,PENDING,a measurement result is REPORTED in the declared unit,every tier-3 measured value carries its declared unit through the conversion,boolean,,SKIP,,,"The half G7 cannot reach. Declaring length_um = 100 does not convert anything; it only makes a conversion possible. Whether a measured tier-3 value is actually reported in seconds or micrometres rather than in frames or cells can only be checked once a tier-3 gate has run, which is stage 7. Until then G7 establishes that the spec is ALLOWED to carry a unit, and nothing about whether it does."
G8,bookkeeping,3,PENDING,one-step accuracy is not stability,state norm stays < 2x the ground-truth norm,ratio to the GT norm,,SKIP,,,"A model can predict the next increment almost perfectly and still blow up when it is fed its own output twenty times over, because a one-step fit never sees its own error compound. This runs a 20-step rollout and requires the state to stay bounded. The threshold is a RATIO to the ground-truth norm, so it is dimensionless and means the same thing on the toy and on real data."
G9,closed_form,3,PENDING,the message becomes a gradient operator,R^2 > 0.90 against the true field gradient,R^2 against du/dx,,SKIP,,,"On this toy the fine rule IS a spatial derivative, so 'did the model recover the interaction' and 'did the aggregated message become du/dx' are the same question -- and the second can be measured directly against ground truth rather than through a proxy such as an edge-weight correlation."
G10,closed_form,3,PENDING,recover the per-node time constant,R^2 > 0.95 against the known tau,R^2 against known tau,,SKIP,,,"Read off the trained operator's own Jacobian: d(dv_i)/dv_i is -1/tau_i for a leaky unit. Taken from the OPERATOR rather than from a named parameter, so the same measurement works for both message forms and does not assume the model wrote tau down anywhere."
G11,closed_form,3,PENDING,the embedding recovers the types,ARI > 0.70 against the true type labels,adjusted Rand index,,SKIP,,,"The headline scientific readout, scored the way connectome-gnn scores it: cluster the embedding and take the adjusted Rand index against the true labels. The 0.70 threshold is the flyvis Ward-tree reference, which reaches 0.702 against 65 cell types. It is only meaningful because G16 established that the types cannot be read off position instead."
G13,closed_form,3,PENDING,recover the per-node SIGNED GAIN (the heterogeneity),R^2 > 0.90 against the true g_i,R^2 against the true g_i,,SKIP,,,"The heterogeneity itself rather than a proxy for it, read as d(dv_i)/d(msg_i) from the trained operator. Signed matters: a model that recovers the magnitude and flips the sign fails, and it should, because an inverted gain is a different claim about the mechanism, not a small error."
G14,closed_form,5,PENDING,encoder/decoder is a genuine option,|delta R^2(gradient)| < 0.03,R^2 difference,,SKIP,,,"On a toy where the node set already IS the computation set, routing through a background grid should change the answer very little. The 0.03 threshold is twice the 0.015 run-to-run resolution floor measured on flyvis_A in the weekend benchmark. It catches an option that silently changes the model rather than the route it takes."
G15,closed_form,4,PENDING,"graphcast vs simple is RESOLVED, either way","|delta| reported against a 3-seed floor; below it is UNRESOLVED, not ranked",R^2 difference vs the measured floor,,SKIP,,,"Not 'graphcast wins'. The weekend benchmark's discipline: report the difference against a floor measured from three seeds, and call anything below that floor UNRESOLVED rather than ranking it. It catches the temptation to read a 0.006 gap as a result -- which is how that benchmark found that four of its seven rollout arms were indistinguishable."
